date,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2021-01-04,48.1,49.8,50.65,46.92,1577934,7675782144.0,7.69,2.66,1.29,1.95,49.123333333333335
2021-01-05,49.5,54.78,54.78,49.4,1471561,7956690688.0,10.8,10.0,4.98,1.82,52.98666666666667
2021-01-06,55.5,55.42,58.32,54.8,1317527,7419141888.0,6.43,1.17,0.64,1.63,56.18000000000001
2021-01-07,56.0,58.29,59.45,55.68,936097,5423116544.0,6.8,5.18,2.87,1.16,57.806666666666665
2021-01-08,58.2,57.34,58.9,55.72,855450,4894349568.0,5.46,-1.63,-0.95,1.06,57.32
2021-01-11,58.01,59.0,61.31,57.84,1293371,7708604416.0,6.05,2.9,1.66,1.6,59.38333333333333
2021-01-12,59.04,61.25,61.55,59.01,841412,5112224512.0,4.31,3.81,2.25,1.04,60.60333333333333
2021-01-13,60.8,59.91,61.44,59.0,720995,4349146880.0,3.98,-2.19,-1.34,0.89,60.11666666666667
2021-01-14,59.12,57.24,59.69,56.8,624065,3629182992.0,4.82,-4.46,-2.67,0.77,57.91
2021-01-15,57.58,58.9,60.97,57.58,572560,3386754288.0,5.92,2.9,1.66,0.71,59.15
2021-01-18,58.21,59.78,61.1,57.07,459471,2736546480.0,6.84,1.49,0.88,0.56,59.31666666666666
2021-01-19,59.82,60.59,62.19,59.82,482539,2948151408.0,3.96,1.35,0.81,0.58,60.86666666666667
2021-01-20,59.71,60.4,60.58,59.2,462393,2771744368.0,2.28,-0.31,-0.19,0.55,60.06
2021-01-21,60.63,63.2,64.57,60.6,746409,4690048512.0,6.57,4.64,2.8,0.89,62.79
2021-01-22,64.0,66.74,67.88,63.5,686165,4524129280.0,6.93,5.6,3.54,0.82,66.04
2021-01-25,66.81,67.65,70.48,64.53,629224,4255124848.0,8.92,1.36,0.91,0.75,67.55333333333333
2021-01-26,66.73,65.1,67.38,64.7,484004,3175946144.0,3.96,-3.77,-2.55,0.58,65.72666666666666
2021-01-27,65.15,69.08,69.78,63.94,596291,3962059408.0,8.97,6.11,3.98,0.71,67.60000000000001
2021-01-28,67.5,63.95,67.5,62.17,846186,5470475264.0,7.72,-7.43,-5.13,1.01,64.54
2021-01-29,63.6,63.0,64.92,61.51,622610,3916791616.0,5.33,-1.49,-0.95,0.75,63.14333333333334
2021-02-01,63.59,63.66,64.5,61.3,502356,3157186160.0,5.08,1.05,0.66,0.6,63.15333333333333
2021-02-02,63.66,64.48,66.06,63.5,452638,2936284480.0,4.02,1.29,0.82,0.54,64.68
2021-02-03,64.48,59.9,66.49,59.12,733881,4634693120.0,11.43,-7.1,-4.58,0.88,61.836666666666666
2021-02-04,61.01,60.78,62.64,59.9,635136,3881094944.0,4.57,1.47,0.88,0.76,61.10666666666666
2021-02-05,60.82,59.64,61.3,58.06,565122,3363584288.0,5.33,-1.88,-1.14,0.68,59.666666666666664
2021-02-08,59.62,59.88,61.27,58.4,531110,3184120208.0,4.81,0.4,0.24,0.64,59.85
2021-02-09,60.84,62.5,63.65,60.21,556881,3462194272.0,5.74,4.38,2.62,0.67,62.120000000000005
2021-02-10,62.5,66.0,66.5,61.28,556860,3593450416.0,8.35,5.6,3.5,0.67,64.59333333333333
2021-02-18,66.01,61.31,67.2,61.05,700399,4421816320.0,9.32,-7.11,-4.69,0.84,63.18666666666667
2021-02-19,60.6,61.68,62.19,59.52,416276,2547252016.0,4.35,0.6,0.37,0.5,61.13
2021-02-22,61.4,58.64,61.4,57.8,668893,3944737232.0,5.84,-4.93,-3.04,0.8,59.279999999999994
